CLAVE_ACCESO	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	Producto	Código	Cantidad	P. Unitario	Descuento	Total	Impuestos
0105202501179005388100120019991136050250095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Serv. Alum. Públic. General	ZAPUGE	1.00	3.57	0.00	3.57	0.00
0105202501179005388100120019991136050250095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Comercialización	ZCOMER	1.00	1.41	0.00	1.41	0.00
0105202501179005388100120019991136050250095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Energía total	ZENERG	1.00	45.65	2.42	43.23	0.00
0105202501179005388100120019991136050250095718811	1790053881001	Empresa Eléctrica Quito S.A.E.E.Q.	01/05/2025	Subsidio Cruzado Solidario	ZSUCRS	1.00	4.46	0.00	4.46	0.00
0105202501171081231200120011000000001677685886118	1710812312001	CATHME RODRIGUEZ ROBERT PATRICIO	01/05/2025	MODULO DE BAÑO ESTANDAR COLOR HEM-000120	0010	12.0	73	0.00	876.00	131.40
0105202501171081231200120011000000001677685886118	1710812312001	CATHME RODRIGUEZ ROBERT PATRICIO	01/05/2025	MODULO DE BAÑO HEM001020 60*40	162	4.0	70	0.00	280.00	42.00
1505202501179320113700120010010004484280000099914	1793201137001	MOSCOSO URIARTE CIA.LTDA.	15/05/2025	EXTRA	0101	8.110	2.144348	0	17.39	2.61
1505202501179001323500120035010002534061133092211	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	30X60 CARDON MARENGO CJ 1.64 M2	8B44202796	78.72	4.9900	0.00	392.81	58.92
1505202501179001323500120035010002534061133092211	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	Seguro de Transporte	SEGURO0001	1.00	1.3700	0.00	1.37	0.21
1505202501179128754100120010120120481721250329716	1791287541001	MEGADATOS SA	15/05/2025	CONSUMO DEL 15 MAYO       2025 AL 14 JUNIO      2 025,  IP FIJA ADICIONAL PYME FECHA DE ACTIVACION  11-JUN-18	IP1	1	1.50	0.00	1.50	0.23
1505202501179128754100120010120120481721250329716	1791287541001	MEGADATOS SA	15/05/2025	CONSUMO DEL 15 MAYO       2025 AL 14 JUNIO      2 025,  FTTH PYME UAV 50MBPS N FECHA DE ACTIVACION  08-JUN-18	PYME3N	1	95.00	0.00	95.00	14.25
1505202501179321815800120010040000014783069298416	1793218158001	RENNOVACONS SAS	15/05/2025	PORCELANATO AGORA NEGRO SATINADO 60X60 RECT METRO	CERAMIC-401	16.2	12.565217	28.5	175.05	26.26
1505202501179201292900120010030000234250002342512	1792012929001	REPRESENTACIONES VALERO	15/05/2025	BASE DECORADA FLOR DE LINO MULTICOLOR	601531791	12.000000	6.240000	0.00	74.88	11.23
1505202501170956007000120030030000604271709560011	1709560070001	CAMPAÑA GALLARDO PABLO ANDRES	15/05/2025	ECUA TERRACE BEIGE 30X60	TB30X60	16	8.70	14.27	128.41	19.26
1505202501099001544900120190100002839121247062913	0990015449001	INTACO ECUADOR S.A.	15/05/2025	BONDEX PREMIUM PORCELANATO5KG	P1982	12.00	2.6400	6.97	24.71	1.24
1505202501099001544900120190100002839121247062913	0990015449001	INTACO ECUADOR S.A.	15/05/2025	MAXICRIL LT	P0144	6.00	8.8300	15.89	37.09	5.56
1505202501099001544900120190100002839121247062913	0990015449001	INTACO ECUADOR S.A.	15/05/2025	SERV LOGISTICO	SRLOGT	1.00	0.6300	0.00	0.63	0.09
1505202501179001323500120035010002534091133092216	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	30X60 ADOBE HIELO CJ 1.64 M2	8B44002696	78.72	6.6900	0.00	526.64	79.00
1505202501179001323500120035010002534091133092216	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	Seguro de Transporte	SEGURO0001	1.00	1.8400	0.00	1.84	0.28
1505202501179001323500120035010002534041133092219	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	30X60 CARDON CARAMELO CJ 1.64 M2	8B44202696	78.72	4.9900	0.00	392.81	58.92
1505202501179001323500120035010002534041133092219	1790013235001	C.A. ECUATORIANA DE CERAMICA	15/05/2025	Seguro de Transporte	SEGURO0001	1.00	1.3700	0.00	1.37	0.21
1505202501099001544900120190100002839064831496611	0990015449001	INTACO ECUADOR S.A.	15/05/2025	BONDEX STANDARD CERAMICA 25KG	P0212	240.00	5.0100	339.31	863.09	43.15
1505202501099001544900120190100002839064831496611	0990015449001	INTACO ECUADOR S.A.	15/05/2025	BONDEX PLUS CERAMICA 25KG	P0213	240.00	8.0700	546.58	1390.22	69.51
