CLAVE_ACCESO	RUC_EMISOR	RAZON_SOCIAL_EMISOR	NOMBRE_COMERCIAL	FECHA_EMISION	CODIGO_RETENCION	BASE_IMPONIBLE	PORCENTAJE_RETENCION	VALOR_RETENIDO
0105202507179009835400120010050076374480000000117	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	01/05/2025	1	82.73	30.00	24.82
0105202507179009835400120010050076374480000000117	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	01/05/2025	344A	602.87	2.00	12.05
0605202507179236807300120011000000034770001830318	1792368073001	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	06/05/2025	312	415.52	1.75	7.27
0605202507179236807300120011000000034770001830318	1792368073001	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	06/05/2025	1	62.33	30.00	18.70
0705202507179009835400120010050076508460000000115	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	07/05/2025	1	6.78	30.00	2.03
0705202507179009835400120010050076508460000000115	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	07/05/2025	344A	45.17	2.00	0.90
0805202507179009835400120010050076538830000000116	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	08/05/2025	1	8.04	30.00	2.41
0805202507179009835400120010050076538830000000116	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	08/05/2025	344A	53.61	2.00	1.07
0805202507179236807300120011000000034830001831014	1792368073001	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	08/05/2025	312	117.00	1.75	2.05
0805202507179236807300120011000000034830001831014	1792368073001	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	ARQUIESCU ARQUITECTURA INMOBILIARIA S.A.	08/05/2025	1	17.55	30.00	5.27
0905202507179009835400120010050076585020000000119	1790098354001	BANCO INTERNACIONAL S A	BANCO INTERNACIONAL	09/05/2025	1	70.52	30.00	21.15
